"hw1","hw2","hw3","hw4","hw5","hw6","Midterm","Final","Total"
100,200,190.51,90,100,100,95.5,96,96.95
90,197,196.17,95,85,100,85.63,85,94.42
95,188.58,197.12,90,100,100,83.75,94,94.29
90,197,196.17,95,85,100,84,82.5,93.55
100,195,193.29,95,89,100,75.63,87.5,93.15
100,195,193.29,95,89,100,89.38,79,93.09
81.33,181,194.21,90,97,100,90,89,92.71
100,195,195.21,80,89,95,86.5,88.5,92.61
95,185,198.58,95,90,100,82.5,86,91.52
100,185,198.47,90,87,100,84.38,87,91.45
95,185,198.58,95,90,100,80.63,86.5,91.36
100,195,198.31,100,100,97,75,82,90.88
95,167.75,192.23,90,87,85,83.38,96,89.41
100,185,198.47,90,87,100,81.25,80.5,89.35
95,188.58,197.12,90,100,100,82.38,74,89.09
50,195,175.79,95,87,88,83,94,89.04
100,200,190.51,90,100,100,75.5,75.5,88.82
90,186.17,192.54,95,100,90,77.13,75,88.57
100,197,193.74,90,97,100,85.13,69,88.35
100,195,198.31,100,100,83,73.75,82.5,88.02
90,181.07,196.15,95,100,87,64.63,80.5,87.41
100,187,187.85,90,77,95,71.75,86.5,87.08
100,195,189.45,100,89,80,73.75,86.5,86.97
95,187,182.12,75,87,88,79.38,74.5,86.9
85,181,194.21,90,97,100,83.13,69,86.83
50,195,175.79,95,87,88,85.88,82,86.67
95,195,140.79,95,95,82,73.63,89.5,86.05
100,195,199.15,100,50,95,69.75,79,85.98
100,183.57,190.12,80,85,91,79.38,73.5,85.93
90,181.07,196.15,95,100,87,79.38,65.5,85.87
90,186.17,192.54,95,100,90,71.5,67,85.72
95,192.5,196.28,100,82,83,76.88,80,85.68
65,181.58,143.96,90,85,100,59.25,92,85.5
100,197,193.74,90,97,100,70.88,64.5,85.09
100,195,199.15,100,50,95,74.63,70,84.46
100,187,187.85,90,77,95,75.88,72.5,84.2
100,195,195.21,80,89,95,64,67.5,83.98
100,195,196.08,100,90,83,78.38,71.5,83.86
100,183.57,190.12,80,85,91,65.5,73,83.72
75,172.42,146.05,90,97,100,73.38,72,83.45
65,181.58,143.96,90,85,100,73.38,78.5,83.35
95,187,182.12,75,87,88,63.63,69.5,83.28
95,192.5,196.28,100,82,83,67.75,73.5,82.69
95,190,174.36,95,63,88,74.38,78,82.43
81.33,181,194.21,90,97,100,58.25,66,82.2
100,192,160.24,90,90,86,75.63,69,81.88
70,181.49,166.11,100,100,77,75.88,72,81.49
95,166,179.47,90,70,97,68,72.5,81.34
95,195,140.79,95,95,82,66.13,75,81.3
100,195,196.08,100,90,83,74.63,65,81.27
100,192,160.24,90,90,86,67.38,71,81.15
95,167.75,192.23,90,87,85,69,71.5,81.12
95,166,179.47,90,70,97,65.13,70.5,80.41
90,164.57,145.52,95,65,76,76.13,87,80.37
70,181.49,166.11,100,100,77,66.25,72.5,80.17
93,190.92,179.73,85,90,69,83.63,69,79.64
93,190.92,179.73,85,90,69,62.5,80.5,79.35
100,195,189.45,100,89,80,69.38,56,78.69
93,110,119.86,90,90,86,59.5,84.5,78.16
45,157.32,134.37,70,68,90,70.13,83.5,76.66
90,164.57,145.52,95,65,76,70.25,74,76.24
95,190,174.36,95,63,88,67.38,51,74.63
45,157.32,134.37,70,68,90,67.38,67,72.12
93,110,119.86,100,82,61.5,54,64.5,67.64
80,185,180.97,95,77,0,81.63,81,67.53
88,174.64,80.61,80,65,15,84.88,85,65.21
80,185,180.97,95,77,0,60.38,73.5,62.47
50,39.5,38,55,85,69,77.5,64,60.53
100,180,77,80,60,0,78,70.5,57.61
100,180,77,80,60,0,83.75,67,57.59
88,174.64,80.61,80,65,15,47,58.5,52.91
50,39.5,38,55,85,69,44.5,45.5,50.95
